target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	38.4931	34	22.3354
Y74C9A.3.2	892	690.132	1363.9	49.9745
Y74C9A.3.1	967	765.132	9.09703	0.300649
Y74C9A.2a.1	714	512.283	2579.68	127.337
Y74C9A.2a.2	685	483.349	2885.32	150.949
Y74C9A.2b.1	171	42.6752	0	0
Y74C9A.4a.1	2117	1915.13	1537.55	20.3015
Y74C9A.4a.2	2118	1916.13	743.057	9.80605
Y74C9A.4b.2	2128	1926.13	1267.02	16.6339
Y74C9A.4b.1	2122	1920.13	102.37	1.34815
Y74C9A.4d.1	825	623.177	0.00354783	0.000143962
Y74C9A.4c.1	1602	1400.13	2.94668e-05	5.32184e-07
Y74C9A.9	719	517.283	161.465	7.89308
Y74C9A.5.2	2290	2088.13	45.0226	0.545218
Y74C9A.5.1	2180	1978.13	610.977	7.81029
Y74C9A.7	21	15	0	0
Y74C9A.8	21	15	0	0
Y74C9A.1.1	732	530.214	1	0.047692
Y48G1C.12.1	1106	904.132	1286	35.9672
Y48G1C.4a.1	1407	1205.13	1038	21.7801
Y48G1C.4b.1	942	740.132	0	0
Y48G1C.5.1	3575	3373.13	63	0.472285
Y48G1C.2b.1	1875	1673.13	646.342	9.76854
Y48G1C.2a.1	2602	2400.13	0	0
Y48G1C.2a.2	2453	2251.13	1740.66	19.5528
Y48G1C.2c.1	132	23.9984	0	0
Y48G1C.10a.1	3621	3419.13	1689.86	12.4977
Y48G1C.10b.1	2440	2238.13	19.8284	0.224027
Y48G1C.10a.2	3611	3409.13	0.00264854	1.96453e-05
Y48G1C.6.1	1741	1539.13	97.4532	1.6011
Y48G1C.10c.1	294	123.412	7.91204	1.62117
Y48G1C.9.2	2363	2161.13	883.965	10.3431
Y48G1C.9.1	2339	2137.13	0	0
Y48G1C.1.1	1605	1403.13	739.98	13.3358
Y48G1C.1.2	1521	1319.13	0	0
Y48G1C.13.1	376	190.094	146	19.4215
Y48G1C.8a.1	4965	4763.13	1426.01	7.57053
Y48G1C.8b.1	4907	4705.13	3492.99	18.7726
F53G12.1.1	1244	1042.13	13207.3	320.471
F53G12.1.2	1294	1092.13	6290.68	145.653
F53G12.16	221	72.6557	2	0.696078
F53G12.15	149	31.9034	0	0
F53G12.10.1	799	597.177	45724.7	1936.18
F53G12.10.2	820	618.177	9202.27	376.426
F53G12.17	150	32.4436	5	3.89707
F53G12.12	134	24.9392	0	0
F53G12.9a.1	929	727.132	70	2.43434
F53G12.9b.1	237	82.9283	0	0
F53G12.8.1	561	361.362	182	12.7358
F53G12.14	21	15	0	0
F53G12.7a.1	1133	931.132	10.4635	0.28416
F53G12.7b.1	777	575.177	5.53652	0.243407
F53G12.6.1	1586	1384.13	160	2.92307
