target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	37.1078	37	32.6915
Y74C9A.3.2	892	696.007	1059.24	49.8976
Y74C9A.3.1	967	770.974	18.7597	0.797782
Y74C9A.2a.1	714	518.188	4479.34	283.417
Y74C9A.2a.2	685	489.307	3197.66	214.264
Y74C9A.2b.1	171	41.5952	0	0
Y74C9A.4a.1	2117	1920.97	1105.44	18.8674
Y74C9A.4a.2	2118	1921.97	538.205	9.18118
Y74C9A.4b.2	2128	1931.97	867.297	14.7186
Y74C9A.4b.1	2122	1925.97	0.0423893	0.000721614
Y74C9A.4d.1	825	629.007	8.57563	0.447001
Y74C9A.4c.1	1602	1405.97	176.439	4.11449
Y74C9A.9	719	523.188	29.198	1.82976
Y74C9A.5.2	2290	2093.97	16.1552	0.252953
Y74C9A.5.1	2180	1983.97	606.845	10.0286
Y74C9A.7	21	7.77778	0	0
Y74C9A.8	21	7.77778	0	0
Y74C9A.1.1	732	536.113	11	0.672721
Y48G1C.12.1	1106	909.974	900	32.4274
Y48G1C.4a.1	1407	1210.97	756	20.4685
Y48G1C.4b.1	942	745.974	0	0
Y48G1C.5.1	3575	3378.97	124	1.20319
Y48G1C.2b.1	1875	1678.97	525.534	10.2625
Y48G1C.2a.1	2602	2405.97	0.00275817	3.75863e-05
Y48G1C.2a.2	2453	2256.97	1332.46	19.3565
Y48G1C.2c.1	132	22.669	0	0
Y48G1C.10a.1	3621	3424.97	1207.41	11.5584
Y48G1C.10b.1	2440	2243.97	7.31548	0.106887
Y48G1C.10a.2	3611	3414.97	7.75697	0.0744737
Y48G1C.6.1	1741	1544.97	72.347	1.53532
Y48G1C.10c.1	294	125.034	0	0
Y48G1C.9.2	2363	2166.97	691.166	10.4575
Y48G1C.9.1	2339	2142.97	0	0
Y48G1C.1.1	1605	1408.97	415	9.65703
Y48G1C.1.2	1521	1324.97	0	0
Y48G1C.13.1	376	193.582	212	35.9062
Y48G1C.8a.1	4965	4768.97	950.597	6.53536
Y48G1C.8b.1	4907	4710.97	2324.4	16.177
F53G12.1.1	1244	1047.97	9136.08	285.83
F53G12.1.2	1294	1097.97	3293.92	98.3602
F53G12.16	221	72.0719	0	0
F53G12.15	149	30.1055	0	0
F53G12.10.1	799	603.007	37436.5	2035.5
F53G12.10.2	820	624.007	6741.48	354.213
F53G12.17	150	30.4973	3	3.22521
F53G12.12	134	23.524	0	0
F53G12.9a.1	929	732.974	69	3.08645
F53G12.9b.1	237	82.8333	0	0
F53G12.8.1	561	366.594	126	11.269
F53G12.14	21	7.77778	0	0
F53G12.7a.1	1133	936.974	13.161	0.460531
F53G12.7b.1	777	581.007	14.839	0.83738
F53G12.6.1	1586	1389.97	122	2.87774
F53G12.5a.1	2039	1842.97	0.00125739	2.23691e-05
F53G12.5b.1	2030	1833.97	221.881	3.96667
F53G12.5a.2	1989	1792.97	12499.9	228.576
F53G12.5c.1	543	349.206	616.23	57.8575
F53G12.4.1	1070	873.974	30	1.12544
F53G12.3.1	4512	4315.97	6.01215	0.0456719
F53G12.18.1	222	72.7168	0	0
F56C11.1.2	5185	4988.97	279.305	1.83555
F56C11.1.1	4667	4470.97	768.682	5.63694
F56C11.2a.1	2698	2501.97	401.379	5.25981
F56C11.2a.2	2809	2612.97	70.6209	0.886128
F56C11.2b.1	2010	1813.97	0	0
F56C11.6a.1	1847	1650.97	81.1974	1.6125
F56C11.6a.2	1911	1714.97	167.464	3.20156
F56C11.6b.1	1686	1489.97	118.339	2.60404
F56C11.6c	1696	1499.97	0	0
F56C11.7	60	21.2208	0	0
F56C11.5b.1	911	714.974	381.246	17.4829
F56C11.5a.1	1024	827.974	335.365	13.28
