target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	39.0229	31	19.8623
Y74C9A.3.2	892	695.905	1327	47.677
Y74C9A.3.1	967	770.755	0	0
Y74C9A.2a.1	714	518.058	2950.45	142.396
Y74C9A.2a.2	685	489.259	2502.55	127.888
Y74C9A.2b.1	171	43.2536	0	0
Y74C9A.4a.1	2117	1920.76	677.145	8.8145
Y74C9A.4a.2	2118	1921.76	1193.62	15.5295
Y74C9A.4b.2	2128	1931.76	1281.53	16.5869
Y74C9A.4b.1	2122	1925.76	5.08448e-06	6.60135e-08
Y74C9A.4d.1	825	628.948	0	0
Y74C9A.4c.1	1602	1405.76	515.703	9.17228
Y74C9A.9	719	523.058	32.5068	1.55386
Y74C9A.5.2	2290	2093.76	90.0926	1.07585
Y74C9A.5.1	2180	1983.76	639.907	8.06523
Y74C9A.7	21	10.0714	0	0
Y74C9A.8	21	10.0714	0	0
Y74C9A.1.1	732	535.987	23	1.0729
Y48G1C.12.1	1106	909.755	1120	30.7809
Y48G1C.4a.1	1407	1210.76	1049	21.6624
Y48G1C.4b.1	942	745.806	0	0
Y48G1C.5.1	3575	3378.76	32	0.2368
Y48G1C.2b.1	1875	1678.76	896.911	13.3583
Y48G1C.2a.1	2602	2405.76	5.54995e-05	5.768e-07
Y48G1C.2a.2	2453	2256.76	1138.09	12.609
Y48G1C.2c.1	132	24.9944	0	0
Y48G1C.10a.1	3621	3424.76	1662.1	12.1343
Y48G1C.10b.1	2440	2243.76	27.143	0.302461
Y48G1C.10a.2	3611	3414.76	3.16635e-06	2.3184e-08
Y48G1C.6.1	1741	1544.76	98.5049	1.59436
Y48G1C.10c.1	294	125.882	0	0
Y48G1C.9.2	2363	2166.76	1024.97	11.8274
Y48G1C.9.1	2339	2142.76	0	0
Y48G1C.1.1	1605	1408.76	461.247	8.18626
Y48G1C.1.2	1521	1324.76	0.027086	0.000511207
Y48G1C.13.1	376	193.746	162	20.906
Y48G1C.8a.1	4965	4768.76	1140.32	5.97872
Y48G1C.8b.1	4907	4710.76	3999.68	21.2287
F53G12.1.1	1244	1047.76	12389.9	295.661
F53G12.1.2	1294	1097.76	7267.14	165.518
F53G12.16	221	73.2207	7	2.3903
F53G12.15	149	32.0328	0	0
F53G12.10.1	799	602.948	57580.1	2387.7
F53G12.10.2	820	623.948	9335.88	374.106
F53G12.17	150	32.5245	3	2.3062
F53G12.12	134	25.8979	0	0
F53G12.9a.1	929	732.905	85.8244	2.92786
F53G12.9b.1	237	83.8962	0.175619	0.0523379
F53G12.8.1	561	366.919	105	7.15496
F53G12.14	21	10.0714	0	0
F53G12.7a.1	1133	936.755	21.0644	0.562226
F53G12.7b.1	777	580.987	20.9356	0.900962
F53G12.6.1	1586	1389.76	78	1.40328
F53G12.5a.1	2039	1842.76	0	0
F53G12.5b.1	2030	1833.76	475.175	6.47888
F53G12.5a.2	1989	1792.76	23181.8	323.307
F53G12.5c.1	543	349.206	1012.98	72.5283
F53G12.4.1	1070	873.755	138	3.94891
F53G12.3.1	4512	4315.76	8.10802	0.0469727
F53G12.18.1	222	73.947	0	0
F56C11.1.2	5185	4988.76	211.878	1.06189
F56C11.1.1	4667	4470.76	968.014	5.41363
F56C11.2a.1	2698	2501.76	582.308	5.81964
F56C11.2a.2	2809	2612.76	117.692	1.12625
F56C11.2b.1	2010	1813.76	0	0
F56C11.6a.1	1847	1650.76	465.953	7.05744
F56C11.6a.2	1911	1714.76	354.977	5.1759
F56C11.6b.1	1686	1489.76	755.054	12.6722
F56C11.6c	1696	1499.76	7.01576	0.116961
F56C11.7	60	25.7561	2	1.9415
F56C11.5b.1	911	714.905	242.435	8.47882
F56C11.5a.1	1024	827.755	627.62	18.9576
F56C11.5a.2	1201	1004.76	158.944	3.95524
F56C11.3.1	558	363.943	3.62186e-05	2.4882e-06
F56C11.3.2	564	369.869	484	32.7178
Y48G1BL.2a.2	7673	7476.76	1489.01	4.97936
Y48G1BL.2a.1	7665	7468.76	78.1491	0.261616
F56C11.t1	75	20.8579	0.416667	0.499466
K10E9.2	1614	1417.76	22.5475	0.397636
Y48G1BL.2b.1	5106	4909.76	741.836	3.77777
Y48G1BL.7.1	1070	873.755	10	0.286153
Y48G1BL.3	1468	1271.76	2519.35	49.5304
Y48G1BL.1	870	673.905	304.916	11.3128
Y48G1BL.4	428	240.306	316.602	32.941
Y48G1BL.8.1	613	417.891	20	1.19662
Y48G1BL.5	933	736.806	551.244	18.7059
Y48G1BM.4	2385	2188.76	7	0.0799629
Y48G1BM.6	3780	3583.76	617.316	4.30682
Y48G1BM.7	271	108.095	7	1.61912
Y48G1BM.2	1791	1594.76	0	0
Y48G1BM.8	919	722.905	55	1.90226
Y48G1BM.1.1	1455	1258.76	73.8246	1.46638
Y48G1BR.1.1	2090	1893.76	231.414	3.0553
Y48G1BR.1.2	2060	1863.76	419.032	5.62142
T13E5.1	117	19.7688	0	0
C53D5.8	21	10.0714	0	0
C53D5.7	21	10.0714	0	0
C53D5.2.1	1141	944.755	100	2.64648
C53D5.4a.1	1453	1256.76	246.774	4.90949
C53D5.4b.1	1281	1084.76	158.714	3.65824
C53D5.4f.1	456	266.023	0	0
C53D5.4c.1	867	670.905	95.9639	3.57631
C53D5.4e.1	561	366.919	0	0
C53D5.4d.1	972	775.755	87.5481	2.82169
C53D5.1c.1	1697	1500.76	0	0
C53D5.1a.2	1695	1498.76	569.552	9.50147
C53D5.1a.1	1689	1492.76	1.16658e-08	1.95396e-10
C53D5.1b.1	1682	1485.76	19.7902	0.333036
C53D5.1c.2	1604	1407.76	0	0
C53D5.1d.1	1170	973.755	208.657	5.35762
C53D5.5a.1	2033	1836.76	751.399	10.2284
C53D5.5b.1	1791	1594.76	40.6011	0.636549
C53D5.6.2	3711	3514.76	13146.1	93.5168
C53D5.6.1	3710	3513.76	4426.9	31.5004
Y48G1A.7	949	752.806	62.4564	2.07435
Y48G1A.5a.1	3492	3295.76	4.82159	0.0365782
Y48G1A.5a.2	3499	3302.76	9446.01	71.5088
Y48G1A.5b.1	588	393.353	335.42	21.3203
Y48G1A.4.2	2762	2565.76	1776	17.3067
Y48G1A.4.1	2756	2559.76	0.00165148	1.6131e-05
Y48G1A.3.2	1296	1099.76	1609	36.5803
Y48G1A.3.1	1288	1091.76	0	0
Y48G1A.6b.1	2165	1968.76	800.035	10.1603
Y48G1A.6a.1	2227	2030.76	273.965	3.37307
Y48G1A.2.1	728	532.023	2252	105.834
Y48G1A.1.1	3102	2905.76	605	5.20576
R119.1	2697	2500.76	628	6.27879
R119.7a.2	2060	1863.76	4611.66	61.8666
R119.7a.1	2400	2203.76	1502.11	17.0422
R119.7b.1	2068	1871.76	0	0
R119.7b.2	2012	1815.76	10.5164	0.144809
R119.2.1	1860	1663.76	989.719	14.8734
R119.3.2	889	692.905	0.563777	0.0203433
R119.3.1	885	688.905	1560.51	56.6362
R119.6.1	1943	1746.76	25.7317	0.368319
R119.4.1	2315	2118.76	11433.2	134.92
R119.4.2	2325	2128.76	23671.8	278.031
R119.6.2	1715	1518.76	2310.2	38.032
R119.5a.1	2129	1932.76	196.493	2.5419
R119.5b.1	2061	1864.76	160.507	2.15209
Y50C1A.1a.1	2398	2201.76	626	7.10875
Y50C1A.1b.1	1901	1704.76	0	0
Y50C1A.2.1	1277	1080.76	22	0.508959
C07F11.2.1	1571	1374.76	26	0.472863
C07F11.1.1	4080	3883.76	825.25	5.31277
C07F11.1.2	4083	3886.76	286.75	1.84461
W04C9.4.1	555	360.992	4.80341	0.33269
W04C9.4.2	556	361.992	2973.2	205.358
W04C9.5.1	1134	937.755	25	0.666558
W04C9.7	21	10.0714	0	0
W04C9.8	557	362.943	17	1.17111
W04C9.3.1	1574	1377.76	11	0.199622
W04C9.9.1	631	435.691	2	0.114773
W04C9.6.1	1467	1270.76	88	1.73144
W04C9.2.2	454	264.113	3641	344.682
W04C9.2.1	452	262.238	0	0
W04C9.1a.1	2537	2340.76	1596.26	17.0504
W04C9.1b.1	2166	1969.76	76.7444	0.974142
Y65B4BL.3a.2	1129	932.755	348.893	9.35217
Y65B4BL.3a.1	998	801.755	253.107	7.89314
Y65B4BL.3b.1	747	550.987	0	0
Y65B4BL.4.1	1184	987.755	1768	44.7528
Y65B4BL.2a.1	2040	1843.76	9336.28	126.607
Y65B4BL.2a.2	2052	1855.76	0.676711	0.00911739
Y65B4BL.2b.1	1725	1528.76	7.46052e-08	1.22017e-09
Y65B4BL.7a.1	982	785.755	47.4465	1.50975
Y65B4BL.7b.1	519	325.93	0	0
Y65B4BL.5a.1	2597	2400.76	28168.4	293.36
Y65B4BL.5b.1	2031	1834.76	0	0
Y65B4BL.5c.1	2181	1984.76	2735.25	34.457
Y65B4BL.10	150	32.5245	0	0
Y65B4BL.9	129	23.8248	4	4.19777
Y65B4BL.6a.1	535	341.415	58	4.2475
Y65B4BL.6b.1	129	23.8248	0	0
Y65B4BL.8	92	16.3046	0	0
Y65B4BL.11	112	18.2155	0	0
Y65B4BL.12	289	121.821	1	0.205242
Y65B4BL.1.2	1605	1408.76	358.247	6.35821
Y65B4BL.1.1	1149	952.755	0	0
Y65B4BM.3.1	1468	1271.76	9.75272	0.191739
