target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	36.4591	50	34.4481
Y74C9A.3.2	892	690.567	1501.83	54.628
Y74C9A.3.1	967	765.567	36.173	1.18687
Y74C9A.2a.1	714	513.032	4667.03	228.506
Y74C9A.2a.2	685	484.406	3580.97	185.692
Y74C9A.2b.1	171	40.2491	0	0
Y74C9A.4a.1	2117	1915.53	169.504	2.22276
Y74C9A.4a.2	2118	1916.53	1689.65	22.1454
Y74C9A.4b.2	2128	1926.53	837.629	10.9214
Y74C9A.4b.1	2122	1920.53	0.748187	0.00978569
Y74C9A.4d.1	825	623.737	35.4676	1.42834
Y74C9A.4c.1	1602	1400.53	0	0
Y74C9A.9	719	517.977	30.5465	1.48133
Y74C9A.5.2	2290	2088.53	54.3875	0.654125
Y74C9A.5.1	2180	1978.53	760.612	9.65657
Y74C9A.7	21	10.5833	0	0
Y74C9A.8	21	10.5833	0	0
Y74C9A.1.1	732	530.977	33	1.56113
Y48G1C.12.1	1106	904.525	1104	30.6584
Y48G1C.4a.1	1407	1205.53	993	20.6906
Y48G1C.4b.1	942	740.567	0	0
Y48G1C.5.1	3575	3373.53	47	0.349957
Y48G1C.2b.1	1875	1673.53	434.245	6.51784
Y48G1C.2a.1	2602	2400.53	6.3009	0.0659321
Y48G1C.2a.2	2453	2251.53	1265.45	14.1179
Y48G1C.2c.1	132	22.5524	0	0
Y48G1C.10a.1	3621	3419.53	1251.41	9.1925
Y48G1C.10b.1	2440	2238.53	9.49392	0.106533
Y48G1C.10a.2	3611	3409.53	0.410074	0.00302113
Y48G1C.6.1	1741	1539.53	119.56	1.95075
Y48G1C.10c.1	294	121.257	0.10028	0.0207733
Y48G1C.9.2	2363	2161.53	1101.11	12.7959
Y48G1C.9.1	2339	2137.53	0	0
Y48G1C.1.1	1605	1403.53	309.917	5.5466
Y48G1C.1.2	1521	1319.53	0	0
Y48G1C.13.1	376	189.197	213	28.2792
Y48G1C.8a.1	4965	4763.53	937.71	4.94471
Y48G1C.8b.1	4907	4705.53	2330.29	12.4395
F53G12.1.1	1244	1042.53	11752.3	283.163
F53G12.1.2	1294	1092.53	4719.71	108.514
