target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	35.6394	7	6.99535
Y74C9A.3.2	892	694.582	914.288	46.8815
Y74C9A.3.1	967	769.533	27.7117	1.28256
Y74C9A.2a.1	714	516.85	1947.53	134.203
Y74C9A.2a.2	685	488.019	1982.47	144.681
Y74C9A.2b.1	171	39.8153	0	0
Y74C9A.4a.1	2117	1919.53	163.645	3.03632
Y74C9A.4a.2	2118	1920.53	1233.52	22.8753
Y74C9A.4b.2	2128	1930.53	791.588	14.6037
Y74C9A.4b.1	2122	1924.53	1.28028e-05	2.36931e-07
Y74C9A.4d.1	825	627.627	0	0
Y74C9A.4c.1	1602	1404.53	319.244	8.09529
Y74C9A.9	719	521.78	25.5746	1.74567
Y74C9A.5.2	2290	2092.53	85.3147	1.45209
Y74C9A.5.1	2180	1982.53	470.685	8.45574
Y74C9A.7	21	18.5	0	0
Y74C9A.8	21	18.5	0	0
Y74C9A.1.1	732	534.78	24	1.59837
Y48G1C.12.1	1106	908.533	803	31.4787
Y48G1C.4a.1	1407	1209.53	715	21.0538
Y48G1C.4b.1	942	744.533	0	0
Y48G1C.5.1	3575	3377.53	51	0.537789
Y48G1C.2b.1	1875	1677.53	659.148	13.9944
Y48G1C.2a.1	2602	2404.53	0	0
Y48G1C.2a.2	2453	2255.53	854.852	13.4984
Y48G1C.2c.1	132	22.5204	0	0
Y48G1C.10a.1	3621	3423.53	1067.96	11.1102
Y48G1C.10b.1	2440	2242.53	19.4809	0.309394
Y48G1C.10a.2	3611	3413.53	2.48566	0.0259346
Y48G1C.6.1	1741	1543.53	67.3144	1.55322
Y48G1C.10c.1	294	121.344	0	0
Y48G1C.9.2	2363	2165.53	681.377	11.2064
Y48G1C.9.1	2339	2141.53	0	0
Y48G1C.1.1	1605	1407.53	594.375	15.0398
Y48G1C.1.2	1521	1323.53	0.00552711	0.000148732
Y48G1C.13.1	376	190.356	63	11.7874
Y48G1C.8a.1	4965	4767.53	902.4	6.74135
Y48G1C.8b.1	4907	4709.53	3068.6	23.2062
F53G12.1.1	1244	1046.53	10056	342.227
F53G12.1.2	1294	1096.53	4429.99	143.887
F53G12.16	221	69.1754	1.72597	0.888637
F53G12.15	149	29.0963	0.274027	0.335426
F53G12.10.1	799	601.627	38472	2277.51
F53G12.10.2	820	622.627	5653.96	323.42
F53G12.17	150	29.528	0	0
F53G12.12	134	23.2355	0	0
F53G12.9a.1	929	731.533	71.8277	3.49703
F53G12.9b.1	237	79.7214	1.17232	0.523734
F53G12.8.1	561	365.376	86	8.383
F53G12.14	21	18.5	0	0
F53G12.7a.1	1133	935.533	18.4023	0.700573
F53G12.7b.1	777	579.667	25.5977	1.57277
F53G12.6.1	1586	1388.53	110	2.82149
F53G12.5a.1	2039	1841.53	2.76015e-05	5.3382e-07
F53G12.5b.1	2030	1832.53	344.868	6.70259
F53G12.5a.2	1989	1791.53	14540.3	289.061
F53G12.5c.1	543	347.668	925.858	94.8465
F53G12.4.1	1070	872.533	103	4.20433
F53G12.3.1	4512	4314.53	10.0852	0.0832516
F53G12.18.1	222	69.7798	1	0.510402
F56C11.1.2	5185	4987.53	134.798	0.962587
F56C11.1.1	4667	4469.53	727.117	5.79407
F56C11.2a.1	2698	2500.53	622.836	8.87121
F56C11.2a.2	2809	2611.53	141.164	1.92517
F56C11.2b.1	2010	1812.53	0	0
F56C11.6a.1	1847	1649.53	389.945	8.41945
F56C11.6a.2	1911	1713.53	459.084	9.54204
F56C11.6b.1	1686	1488.53	873.971	20.9113
F56C11.6c	1696	1498.53	0	0
F56C11.7	60	19.759	0	0
F56C11.5b.1	911	713.582	194.863	9.72582
F56C11.5a.1	1024	826.533	255.777	11.0216
F56C11.5a.2	1201	1003.53	111.36	3.95222
F56C11.3.1	558	362.475	0	0
F56C11.3.2	564	368.351	371	35.8718
Y48G1BL.2a.2	7673	7475.53	1171.06	5.57928
Y48G1BL.2a.1	7665	7467.53	72.5865	0.346195
F56C11.t1	75	22.8082	0.416667	0.650637
K10E9.2	1614	1416.53	22.9011	0.575801
Y48G1BL.2b.1	5106	4908.53	783.355	5.68393
Y48G1BL.7.1	1070	872.533	8.18167	0.333966
Y48G1BL.3	1468	1270.53	1884.49	52.8263
Y48G1BL.1	870	672.582	226.318	11.9844
Y48G1BL.4	428	237.569	188.54	28.2654
Y48G1BL.8.1	613	416.774	14	1.19638
Y48G1BL.5	933	735.533	396.097	19.1797
Y48G1BM.4	2385	2187.53	0	0
Y48G1BM.6	3780	3582.53	497.696	4.94784
Y48G1BM.7	271	104.28	2	0.683077
Y48G1BM.2	1791	1593.53	2	0.0447003
Y48G1BM.8	919	721.582	31	1.53009
