target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	38.4712	38	21.1567
Y74C9A.3.2	892	702.568	1454	44.3277
Y74C9A.3.1	967	777.568	0	0
Y74C9A.2a.1	714	524.727	3701.62	151.097
Y74C9A.2a.2	685	495.842	6051.38	261.403
Y74C9A.2b.1	171	42.6621	0	0
Y74C9A.4a.1	2117	1927.53	196.454	2.18302
Y74C9A.4a.2	2118	1928.53	1673.74	18.5891
Y74C9A.4b.2	2128	1938.53	590.985	6.52984
Y74C9A.4b.1	2122	1932.53	0.00022063	2.44532e-06
Y74C9A.4d.1	825	635.598	40.8261	1.3758
Y74C9A.4c.1	1602	1412.53	0	0
Y74C9A.9	719	529.727	52.6911	2.13051
Y74C9A.5.2	2290	2100.53	54.5912	0.556663
Y74C9A.5.1	2180	1990.53	366.409	3.94272
Y74C9A.7	21	10.6154	0	0
Y74C9A.8	21	10.6154	0	0
Y74C9A.1.1	732	542.703	3	0.118402
Y48G1C.12.1	1106	916.533	1035	24.1875
Y48G1C.4a.1	1407	1217.53	1059	18.6301
Y48G1C.4b.1	942	752.568	0	0
Y48G1C.5.1	3575	3385.53	52	0.328985
Y48G1C.2b.1	1875	1685.53	0	0
Y48G1C.2a.1	2602	2412.53	164.842	1.4635
Y48G1C.2a.2	2453	2263.53	755.158	7.14579
Y48G1C.2c.1	132	24.1864	0	0
Y48G1C.10a.1	3621	3431.53	27.7269	0.173066
Y48G1C.10b.1	2440	2250.53	4.1787	0.03977
Y48G1C.10a.2	3611	3421.53	1138.57	7.12754
Y48G1C.6.1	1741	1551.53	112.876	1.55825
Y48G1C.10c.1	294	127.655	0	0
Y48G1C.9.2	2363	2173.53	2052.03	20.2216
Y48G1C.9.1	2339	2149.53	0	0
Y48G1C.1.1	1605	1415.53	85.6377	1.29582
Y48G1C.1.2	1521	1331.53	0	0
Y48G1C.13.1	376	196.979	590.98	64.2619
Y48G1C.8a.1	4965	4775.53	685.799	3.07592
Y48G1C.8b.1	4907	4717.53	1225.2	5.56277
F53G12.1.1	1244	1054.53	14042.6	285.224
F53G12.1.2	1294	1104.53	3512.41	68.1124
F53G12.16	221	73.3959	0	0
F53G12.15	149	31.2611	0	0
F53G12.10.1	799	609.598	34376.4	1207.86
F53G12.10.2	820	630.598	19335.6	656.757
F53G12.17	150	31.7526	2	1.34912
F53G12.12	134	25.1267	0	0
F53G12.9a.1	929	739.568	91	2.6355
F53G12.9b.1	237	84.5018	0	0
F53G12.8.1	561	372.937	494	28.372
F53G12.14	21	10.6154	0	0
F53G12.7a.1	1133	943.533	29.1617	0.661994
F53G12.7b.1	777	587.625	17.8383	0.65021
F53G12.6.1	1586	1396.53	188	2.88341
F53G12.5a.1	2039	1849.53	0	0
F53G12.5b.1	2030	1840.53	199.769	2.32479
F53G12.5a.2	1989	1799.53	10129.2	120.564
F53G12.5c.1	543	355.002	0	0
F53G12.4.1	1070	880.533	45	1.09463
F53G12.3.1	4512	4322.53	3.01359	0.0149329
F53G12.18.1	222	74.0499	0	0
F56C11.1.2	5185	4995.53	202.522	0.868338
F56C11.1.1	4667	4477.53	504.465	2.41319
F56C11.2a.1	2698	2508.53	261.401	2.23196
F56C11.2a.2	2809	2619.53	23.5994	0.192964
F56C11.2b.1	2010	1820.53	0	0
F56C11.6a.1	1847	1657.53	1357.07	17.5363
F56C11.6a.2	1911	1721.53	460.489	5.72932
F56C11.6b.1	1686	1496.53	686.028	9.81873
F56C11.6c	1696	1506.53	14.4137	0.204925
F56C11.7	60	20.2059	0	0
F56C11.5b.1	911	721.568	443.838	13.1749
F56C11.5a.1	1024	834.533	394.517	10.1256
F56C11.5a.2	1201	1011.53	34.2892	0.726068
F56C11.3.1	558	369.937	81.1253	4.69708
F56C11.3.2	564	375.903	804.23	45.8251
Y48G1BL.2a.2	7673	7483.53	562.648	1.61038
Y48G1BL.2a.1	7665	7475.53	0.00123587	3.54104e-06
F56C11.t1	75	20.6073	0.333333	0.346463
K10E9.2	1614	1424.53	12.6735	0.190556
Y48G1BL.2b.1	5106	4916.53	344.35	1.50017
Y48G1BL.7.1	1070	880.533	15.768	0.383556
Y48G1BL.3	1468	1278.53	960.105	16.0845
Y48G1BL.1	870	680.568	260.485	8.19804
Y48G1BL.4	428	244.646	61.9717	5.42568
Y48G1BL.8.1	613	424.27	42.4859	2.14487
Y48G1BL.5	933	743.568	169.149	4.87244
Y48G1BM.4	2385	2195.53	0	0
Y48G1BM.6	3780	3590.53	286.126	1.70686
Y48G1BM.7	271	109.413	3	0.58729
Y48G1BM.2	1791	1601.53	0	0
Y48G1BM.8	919	729.568	36	1.0569
Y48G1BM.1.1	1455	1265.53	183.491	3.10557
Y48G1BR.1.1	2090	1900.53	316.732	3.56957
Y48G1BR.1.2	2060	1870.53	189.921	2.17474
T13E5.1	117	19.3187	0	0
C53D5.8	21	10.6154	0	0
C53D5.7	21	10.6154	0	0
C53D5.2.1	1141	951.533	80	1.8008
C53D5.4a.1	1453	1263.53	246.893	4.18526
C53D5.4b.1	1281	1091.53	240.726	4.72374
C53D5.4f.1	456	270.956	0.464213	0.0366959
C53D5.4c.1	867	677.568	0	0
C53D5.4e.1	561	372.937	29.9162	1.71819
C53D5.4d.1	972	782.568	0	0
C53D5.1c.1	1697	1507.53	0	0
C53D5.1a.2	1695	1505.53	279.603	3.97788
C53D5.1a.1	1689	1499.53	1.7716	0.0253051
C53D5.1b.1	1682	1492.53	0	0
C53D5.1c.2	1604	1414.53	342.625	5.18807
C53D5.1d.1	1170	980.533	0	0
C53D5.5a.1	2033	1843.53	543.983	6.32024
C53D5.5b.1	1791	1601.53	0.0168887	0.000225871
C53D5.6.2	3711	3521.53	6880.29	41.848
C53D5.6.1	3710	3520.53	152.706	0.929066
Y48G1A.7	949	759.568	122.693	3.45982
Y48G1A.5a.1	3492	3302.53	256.33	1.66246
Y48G1A.5a.2	3499	3309.53	2960.38	19.1593
Y48G1A.5b.1	588	399.604	372.538	19.9682
Y48G1A.4.2	2762	2572.53	1350.69	11.2459
Y48G1A.4.1	2756	2566.53	96.3108	0.803762
Y48G1A.3.2	1296	1106.53	1163	22.512
Y48G1A.3.1	1288	1098.53	0	0
Y48G1A.6b.1	2165	1975.53	705	7.64371
Y48G1A.6a.1	2227	2037.53	0	0
Y48G1A.2.1	728	538.727	1186	47.1536
Y48G1A.1.1	3102	2912.53	429	3.1549
R119.1	2697	2507.53	431	3.68154
R119.7a.2	2060	1870.53	1.57195e-05	1.8e-07
R119.7a.1	2400	2210.53	2684.57	26.0122
R119.7b.1	2068	1878.53	0	0
R119.7b.2	2012	1822.53	0	0
R119.2.1	1860	1670.53	1673.43	21.4562
R119.3.2	889	699.568	1517.86	46.4731
R119.3.1	885	695.568	498.723	15.3575
R119.6.1	1943	1753.53	17.5924	0.214887
R119.4.1	2315	2125.53	11147.6	112.335
R119.4.2	2325	2135.53	5621.37	56.3813
R119.6.2	1715	1525.53	1349.82	18.9519
R119.5a.1	2129	1939.53	95.2611	1.05201
R119.5b.1	2061	1871.53	110.739	1.26737
Y50C1A.1a.1	2398	2208.53	328.836	3.18915
Y50C1A.1b.1	1901	1711.53	340.164	4.25699
Y50C1A.2.1	1277	1087.53	8	0.15756
C07F11.2.1	1571	1381.53	58	0.89922
C07F11.1.1	4080	3890.53	0	0
C07F11.1.2	4083	3893.53	567	3.11917
W04C9.4.1	555	366.937	1.04224e-07	6.0838e-09
W04C9.4.2	556	367.937	4130	240.423
W04C9.5.1	1134	944.533	38	0.861719
W04C9.7	21	10.6154	0	0
W04C9.8	557	368.937	35	2.03196
W04C9.3.1	1574	1384.53	6	0.0928212
W04C9.9.1	631	442.074	3	0.145354
W04C9.6.1	1467	1277.53	93	1.55923
W04C9.2.2	454	269.055	4378	348.525
W04C9.2.1	452	267.214	6.44415e-05	5.16541e-06
W04C9.1a.1	2537	2347.53	1376	12.5547
W04C9.1b.1	2166	1976.53	0	0
Y65B4BL.3a.2	1129	939.533	186.472	4.2511
Y65B4BL.3a.1	998	808.533	461.528	12.2264
Y65B4BL.3b.1	747	557.703	0	0
Y65B4BL.4.1	1184	994.533	1208	26.0164
