ens_gene,BRC20067,CB4856,DL238,N2
WBGene00000114,0,0,1,1
WBGene00000503,1,0,1,2
WBGene00000512,1,0,0,1
WBGene00000830,1,1,1,3
WBGene00000831,0,1,0,1
WBGene00000905,0,1,0,1
WBGene00000988,1,0,1,2
WBGene00000991,1,0,0,1
WBGene00001157,1,0,0,1
WBGene00001240,1,0,0,1
WBGene00001242,0,1,1,2
WBGene00001394,0,0,1,1
WBGene00001395,0,1,1,2
WBGene00001476,1,1,1,3
WBGene00001522,1,0,0,1
WBGene00001523,0,1,1,2
WBGene00001541,1,1,1,3
WBGene00001544,1,0,0,1
WBGene00001553,0,1,1,2
WBGene00001639,0,0,1,1
WBGene00001993,1,0,0,1
WBGene00003816,0,1,0,1
WBGene00004020,1,0,0,1
WBGene00004023,0,1,0,1
WBGene00004092,0,1,1,2
WBGene00004932,0,1,1,2
WBGene00006416,0,0,1,1
WBGene00006505,0,1,1,2
WBGene00006862,1,0,0,1
WBGene00006912,0,1,0,1
WBGene00007130,1,0,0,1
WBGene00007140,0,0,1,1
WBGene00007210,0,1,0,1
WBGene00007330,0,0,1,1
WBGene00007388,1,0,0,1
WBGene00007422,1,1,0,2
WBGene00007455,1,0,0,1
WBGene00007507,1,0,1,2
WBGene00007508,0,0,1,1
WBGene00007509,1,0,1,2
WBGene00007517,1,0,1,2
WBGene00007886,0,1,0,1
WBGene00007946,1,1,1,3
WBGene00008097,1,0,1,2
WBGene00008127,0,1,0,1
WBGene00008167,0,1,0,1
WBGene00008538,1,1,1,3
WBGene00008564,1,0,0,1
WBGene00008565,0,1,1,2
WBGene00008566,0,0,1,1
WBGene00008567,1,0,1,2
WBGene00008629,1,0,0,1
WBGene00008706,0,0,1,1
WBGene00009001,1,1,1,3
WBGene00009048,1,1,1,3
WBGene00009165,0,1,1,2
WBGene00009192,0,1,0,1
WBGene00009218,0,1,1,2
WBGene00009221,1,0,0,1
WBGene00009226,0,1,1,2
WBGene00009334,0,0,1,1
WBGene00009622,1,1,0,2
WBGene00009706,1,0,0,1
WBGene00009908,0,1,1,2
WBGene00010035,0,0,1,1
WBGene00010055,0,0,1,1
WBGene00010083,0,0,1,1
WBGene00010166,1,1,1,3
WBGene00010296,1,1,0,2
WBGene00010485,0,0,1,1
WBGene00010628,1,0,0,1
WBGene00010791,0,0,1,1
WBGene00010924,0,1,0,1
WBGene00010964,1,0,1,2
WBGene00011006,1,1,0,2
WBGene00011162,0,1,0,1
WBGene00011167,0,1,0,1
WBGene00011307,0,0,1,1
WBGene00011393,0,1,1,2
WBGene00011423,0,0,1,1
WBGene00011564,0,1,0,1
WBGene00011757,0,1,1,2
WBGene00011850,0,1,0,1
WBGene00011879,1,0,1,2
WBGene00011932,1,0,0,1
WBGene00012013,0,0,1,1
WBGene00012131,0,0,1,1
WBGene00012295,0,0,1,1
WBGene00012302,0,1,1,2
WBGene00012416,0,0,1,1
WBGene00012608,1,0,1,2
WBGene00012855,0,0,1,1
WBGene00012909,1,0,0,1
WBGene00012911,0,0,1,1
WBGene00012970,1,0,0,1
WBGene00013041,0,0,1,1
WBGene00013237,0,1,0,1
WBGene00013284,1,0,0,1
WBGene00013336,0,0,1,1
WBGene00013362,0,0,1,1
WBGene00013433,0,1,0,1
WBGene00013646,0,0,1,1
WBGene00013896,0,0,1,1
WBGene00013900,0,1,0,1
WBGene00013904,0,0,1,1
WBGene00013905,0,1,1,2
WBGene00013906,1,1,0,2
WBGene00014206,1,1,1,3
WBGene00015010,0,0,1,1
WBGene00015162,1,0,0,1
WBGene00015270,1,1,1,3
WBGene00015298,0,0,1,1
WBGene00015400,1,0,0,1
WBGene00015577,1,0,0,1
WBGene00015692,0,1,1,2
WBGene00015694,0,0,1,1
WBGene00015887,1,0,0,1
WBGene00016152,0,1,0,1
WBGene00016892,1,0,0,1
WBGene00016920,0,1,0,1
WBGene00017060,1,1,1,3
WBGene00017071,0,0,1,1
WBGene00017123,1,1,0,2
WBGene00017301,1,0,1,2
WBGene00017315,1,1,1,3
WBGene00017329,0,1,1,2
WBGene00017332,1,0,0,1
WBGene00017336,0,0,1,1
WBGene00017387,0,1,1,2
WBGene00017440,0,0,1,1
WBGene00017625,0,0,1,1
WBGene00017648,0,0,1,1
WBGene00017959,0,0,1,1
WBGene00018036,0,0,1,1
WBGene00018424,0,1,0,1
WBGene00018543,0,1,1,2
WBGene00018682,0,1,0,1
WBGene00018755,0,0,1,1
WBGene00018783,0,0,1,1
WBGene00018931,0,1,1,2
WBGene00018986,0,0,1,1
WBGene00019022,1,0,0,1
WBGene00019055,0,1,1,2
WBGene00019060,1,0,0,1
WBGene00019094,0,1,1,2
WBGene00019233,1,0,0,1
WBGene00019322,1,0,0,1
WBGene00019404,1,0,0,1
WBGene00019473,1,1,0,2
WBGene00019516,0,0,1,1
WBGene00019604,0,1,0,1
WBGene00019644,1,0,1,2
WBGene00019690,0,0,1,1
WBGene00019730,0,0,1,1
WBGene00019830,0,1,0,1
WBGene00019895,0,0,1,1
WBGene00019899,0,1,0,1
WBGene00019962,0,0,1,1
WBGene00019965,0,1,0,1
WBGene00019978,0,1,0,1
WBGene00020140,0,0,1,1
WBGene00020149,1,0,0,1
WBGene00020182,1,0,1,2
WBGene00020343,1,0,0,1
WBGene00020446,0,0,1,1
WBGene00020587,1,1,0,2
WBGene00020761,1,1,1,3
WBGene00020911,0,0,1,1
WBGene00021128,0,1,0,1
WBGene00021345,0,0,1,1
WBGene00021508,0,0,1,1
WBGene00021703,1,0,0,1
WBGene00021709,0,1,1,2
WBGene00022007,1,0,0,1
WBGene00022104,0,0,1,1
WBGene00022130,0,1,0,1
WBGene00022200,0,1,1,2
WBGene00022379,0,1,1,2
WBGene00022397,0,1,1,2
WBGene00022455,1,0,1,2
WBGene00022610,0,0,1,1
WBGene00022770,1,0,0,1
WBGene00022781,1,0,0,1
WBGene00044286,1,1,1,3
WBGene00044355,0,1,1,2
WBGene00044631,0,0,1,1
WBGene00044734,1,1,1,3
WBGene00044807,0,1,0,1
WBGene00206373,0,0,1,1
