comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00001918,35.2768984806245,-1.23062093343497,down,No
BRC20067_vs_N2,WBGene00001935,147.867106934881,0.624713120868815,up,No
BRC20067_vs_N2,WBGene00001938,142.517383837391,0.765295084803458,up,No
BRC20067_vs_N2,WBGene00001941,100.997222799847,0.646601125520003,up,No
BRC20067_vs_N2,WBGene00001949,603.503332937321,0.834707078854966,up,No
BRC20067_vs_N2,WBGene00001950,78.1435674896658,0.952552885397864,up,No
BRC20067_vs_N2,WBGene00001957,29.3647526223633,-1.50998788186725,down,No
BRC20067_vs_N2,WBGene00001958,32.6598061882439,1.75589071686556,up,No
BRC20067_vs_N2,WBGene00001991,99.9199554117968,-0.681815313903149,down,No
BRC20067_vs_N2,WBGene00001993,5783.33556938512,0.706310398930439,up,Yes
BRC20067_vs_N2,WBGene00002012,391.899883890467,1.06941116913349,up,No
BRC20067_vs_N2,WBGene00002025,7624.53046498191,0.818846859036178,up,No
BRC20067_vs_N2,WBGene00002055,2921.50838216204,0.756648105079034,up,No
BRC20067_vs_N2,WBGene00002058,526.99511521774,0.606335750385288,up,No
BRC20067_vs_N2,WBGene00002117,56.4216080423388,0.985059784018603,up,No
BRC20067_vs_N2,WBGene00002125,1692.73182451781,0.83302684200035,up,No
BRC20067_vs_N2,WBGene00002260,82.8164360091867,1.15887428685005,up,No
BRC20067_vs_N2,WBGene00002275,3293.90654542293,0.879434959456148,up,No
BRC20067_vs_N2,WBGene00003093,6790.25921042924,0.622421839294025,up,No
BRC20067_vs_N2,WBGene00003094,39.4516276981441,0.71419260081735,up,No
BRC20067_vs_N2,WBGene00003377,35.9833830138891,1.95852066232118,up,No
BRC20067_vs_N2,WBGene00003380,54.126775454423,0.646766736249756,up,No
BRC20067_vs_N2,WBGene00003391,4519.93385412553,0.588938085789333,up,No
BRC20067_vs_N2,WBGene00003442,578.13492583198,-1.51586615980563,down,No
BRC20067_vs_N2,WBGene00003443,636.46413303956,-6.19463078772327,down,No
BRC20067_vs_N2,WBGene00003549,110.720690302884,-0.693129434137613,down,No
BRC20067_vs_N2,WBGene00003574,24.0280021044788,1.4664314237389,up,No
BRC20067_vs_N2,WBGene00003601,338.864070818966,0.769266114556848,up,No
BRC20067_vs_N2,WBGene00003602,401.18268511299,0.800118971864288,up,No
BRC20067_vs_N2,WBGene00003610,453.810355743408,0.941188219681204,up,No
BRC20067_vs_N2,WBGene00003643,174.667455758379,0.681795841961655,up,No
BRC20067_vs_N2,WBGene00003655,202.623851589168,0.594436844733648,up,No
BRC20067_vs_N2,WBGene00003664,86.1385479590739,-4.23174290451645,down,No
BRC20067_vs_N2,WBGene00003703,23.7905727807881,-1.788241473413,down,No
BRC20067_vs_N2,WBGene00003704,2139.9436720618,0.679943968595663,up,No
BRC20067_vs_N2,WBGene00003774,28.3269879264895,0.935106540869005,up,No
BRC20067_vs_N2,WBGene00003856,43.5916786195564,-1.67218731699609,down,No
BRC20067_vs_N2,WBGene00003987,330.919331696382,1.0597932416388,up,No
BRC20067_vs_N2,WBGene00003999,99.7693210174595,-1.65934141326025,down,No
BRC20067_vs_N2,WBGene00004020,1779.45148565415,1.0817268771783,up,Yes
BRC20067_vs_N2,WBGene00004041,575.773121967498,-9.07799070763008,down,No
BRC20067_vs_N2,WBGene00004062,4416.87964019604,0.934004072904438,up,No
BRC20067_vs_N2,WBGene00004191,297.925206346476,0.634676401974642,up,No
BRC20067_vs_N2,WBGene00004196,252.339444471064,0.789210166423191,up,No
BRC20067_vs_N2,WBGene00004353,86.4642010657694,1.01316162784815,up,No
BRC20067_vs_N2,WBGene00004509,467.715329668026,0.939358268106087,up,No
BRC20067_vs_N2,WBGene00004812,67.6046943099182,9.37290815223175,up,No
BRC20067_vs_N2,WBGene00004827,199.670631556704,1.54939884009399,up,No
BRC20067_vs_N2,WBGene00005002,3756.41773243248,1.1502125915998,up,No
BRC20067_vs_N2,WBGene00005012,200.803404470396,-2.3711088234326,down,No
BRC20067_vs_N2,WBGene00005013,44.9716062658241,-4.63382329783657,down,No
BRC20067_vs_N2,WBGene00005548,18.2401392149745,4.35929619195333,up,No
BRC20067_vs_N2,WBGene00005552,349.969815637603,-5.15744495564501,down,No
BRC20067_vs_N2,WBGene00006016,17.614124045696,-1.35017933134185,down,No
BRC20067_vs_N2,WBGene00006310,393.10061660162,-0.783023234823329,down,No
BRC20067_vs_N2,WBGene00006534,12.319054611882,-1.68266673719011,down,No
BRC20067_vs_N2,WBGene00006615,223.10299258889,-2.33322467345945,down,No
