target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	38.5752	22	16.8975
Y74C9A.3.2	892	694.387	1263	53.8902
Y74C9A.3.1	967	769.341	0	0
Y74C9A.2a.1	714	516.657	3064.09	175.715
Y74C9A.2a.2	685	487.723	2331.91	141.66
Y74C9A.2b.1	171	42.3984	0	0
Y74C9A.4a.1	2117	1919.34	1040	16.0542
Y74C9A.4a.2	2118	1920.34	507.617	7.83189
Y74C9A.4b.2	2128	1930.34	1194.71	18.3373
Y74C9A.4b.1	2122	1924.34	5.26696e-06	8.10936e-08
Y74C9A.4d.1	825	627.429	0	0
Y74C9A.4c.1	1602	1404.34	377.677	7.96814
Y74C9A.9	719	521.657	17.572	0.998031
Y74C9A.5.2	2290	2092.34	14.9241	0.211332
Y74C9A.5.1	2180	1982.34	722.076	10.7923
Y74C9A.7	21	12.6667	0	0
Y74C9A.8	21	12.6667	0	0
Y74C9A.1.1	732	534.622	32	1.77342
Y48G1C.12.1	1106	908.341	913	29.7804
Y48G1C.4a.1	1407	1209.34	897	21.9762
Y48G1C.4b.1	942	744.341	0	0
Y48G1C.5.1	3575	3377.34	47	0.412317
Y48G1C.2b.1	1875	1677.34	753.578	13.3111
Y48G1C.2a.1	2602	2404.34	0	0
Y48G1C.2a.2	2453	2255.34	1060.42	13.9308
Y48G1C.2c.1	132	24.7241	0	0
Y48G1C.10a.1	3621	3423.34	1358.47	11.7573
Y48G1C.10b.1	2440	2242.34	29.3975	0.388434
Y48G1C.10a.2	3611	3413.34	0.0200925	0.000174407
Y48G1C.6.1	1741	1543.34	83.1161	1.59563
Y48G1C.10c.1	294	123.649	0	0
Y48G1C.9.2	2363	2165.34	806.869	11.0404
Y48G1C.9.1	2339	2141.34	0	0
Y48G1C.1.1	1605	1407.34	425.073	8.94897
Y48G1C.1.2	1521	1323.34	0.0553041	0.00123821
Y48G1C.13.1	376	190.663	125	19.4246
Y48G1C.8a.1	4965	4767.34	995.261	6.18542
Y48G1C.8b.1	4907	4709.34	3292.74	20.716
F53G12.1.1	1244	1046.34	10130.1	286.846
F53G12.1.2	1294	1096.34	5722.9	154.66
F53G12.16	221	72.068	3	1.23335
F53G12.15	149	32.0358	0	0
F53G12.10.1	799	601.469	44904.8	2212.02
