target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	36.9965	60	41.0473
Y74C9A.3.2	892	681.016	1377.39	51.1912
Y74C9A.3.1	967	755.981	8.60829	0.288205
Y74C9A.2a.1	714	503.832	5719.74	287.333
Y74C9A.2a.2	685	474.997	4582.26	244.165
Y74C9A.2b.1	171	40.6482	0	0
Y74C9A.4a.1	2117	1905.98	339.572	4.5093
Y74C9A.4a.2	2118	1906.98	1490.29	19.7796
Y74C9A.4b.2	2128	1916.98	1195.65	15.7863
Y74C9A.4b.1	2122	1910.98	0.00900737	0.000119299
Y74C9A.4d.1	825	614.205	110.486	4.55289
Y74C9A.4c.1	1602	1390.98	0	0
Y74C9A.9	719	508.832	29.3694	1.46088
Y74C9A.5.2	2290	2078.98	47.4459	0.577621
Y74C9A.5.1	2180	1968.98	1009.55	12.9773
Y74C9A.7	21	15.0909	0	0
Y74C9A.8	21	15.0909	0	0
Y74C9A.1.1	732	521.783	2	0.0970142
Y48G1C.12.1	1106	894.981	984	27.8276
Y48G1C.4a.1	1407	1195.98	1261	26.6861
Y48G1C.4b.1	942	730.981	0	0
Y48G1C.5.1	3575	3363.98	32	0.240764
Y48G1C.2b.1	1875	1663.98	541.337	8.23407
Y48G1C.2a.1	2602	2390.98	26.9176	0.284941
Y48G1C.2a.2	2453	2241.98	1747.75	19.7306
Y48G1C.2c.1	132	23.368	0	0
Y48G1C.10a.1	3621	3409.98	1668.87	12.387
Y48G1C.10b.1	2440	2228.98	0	0
Y48G1C.10a.2	3611	3399.98	0.00147828	1.10046e-05
Y48G1C.6.1	1741	1529.98	122.263	2.02258
Y48G1C.10c.1	294	118.958	0	0
Y48G1C.9.2	2363	2151.98	906.232	10.6585
Y48G1C.9.1	2339	2127.98	0	0
Y48G1C.1.1	1605	1393.98	427.629	7.76435
Y48G1C.1.2	1521	1309.98	0	0
Y48G1C.13.1	376	184.697	334	45.7701
Y48G1C.8a.1	4965	4753.98	1488.31	7.92378
Y48G1C.8b.1	4907	4695.98	3066.69	16.5287
F53G12.1.1	1244	1032.98	11677	286.11
F53G12.1.2	1294	1082.98	5025.03	117.439
F53G12.16	221	68.684	4	1.47401
F53G12.15	149	30.2032	0	0
F53G12.10.1	799	588.235	42750.4	1839.43
F53G12.10.2	820	609.235	9369.62	389.253
F53G12.17	150	30.6731	3	2.47547
F53G12.12	134	23.9949	0	0
F53G12.9a.1	929	718.016	117	4.12427
F53G12.9b.1	237	78.9495	0	0
F53G12.8.1	561	353.876	140	10.0132
F53G12.14	21	15.0909	0	0
F53G12.7a.1	1133	921.981	12.9604	0.355789
F53G12.7b.1	777	566.29	15.0396	0.672189
F53G12.6.1	1586	1374.98	139	2.55866
F53G12.5a.1	2039	1827.98	84.0513	1.16377
F53G12.5b.1	2030	1818.98	302.673	4.21153
F53G12.5a.2	1989	1777.98	15594.5	221.992
F53G12.5c.1	543	336.869	186.818	14.0363
F53G12.4.1	1070	858.981	41	1.20808
F53G12.3.1	4512	4300.98	17.1779	0.101087
F53G12.18.1	222	69.3346	1	0.365044
F56C11.1.2	5185	4973.98	364.887	1.85673
F56C11.1.1	4667	4455.98	1155.94	6.56576
F56C11.2a.1	2698	2486.98	456.784	4.64872
F56C11.2a.2	2809	2597.98	70.2157	0.684058
F56C11.2b.1	2010	1798.98	0	0
F56C11.6a.1	1847	1635.98	156.825	2.42623
F56C11.6a.2	1911	1699.98	306.679	4.56598
F56C11.6b.1	1686	1474.98	313.241	5.37511
F56C11.6c	1696	1484.98	31.2551	0.532715
F56C11.7	60	22.4125	0	0
F56C11.5b.1	911	700.016	232.106	8.39214
